 Call Option,,,,,,,,,
Frequency, Daily,,,,,,,,
Time Intervals,252,,,,,,,,
 Stock Price,100,,,,,,,,
Strike,100,,,,,,,,
Volatility,0.2,,,,,,,,
 Call Option,,,,,,,,,
 Risk Free Rate,0.05,,,,,,,,
Time to Expiry,1,,,,,,,,
 ,,,,,,,,mean ,0.532459891
0.533497023,0.532324815,,,,,,,stdev,0.002512569
0.534329348,0.532324815,,,,,,,,
0.533187873,0.532324815,,,,,,,,
0.531071388,0.532324815,,,,,,,,
0.531594564,0.532324815,,,,,,,,
0.529382955,0.532324815,,,,,,,,
0.532640916,0.532324815,,,,,,,,
0.531903713,0.532324815,,,,,,,,
0.530381746,0.532324815,,,,,,,,
0.533568365,0.532324815,,,,,,,,
0.534971428,0.532324815,,,,,,,,
0.535994,0.532324815,,,,,,,,
0.527789646,0.532324815,,,,,,,,
0.531237853,0.532324815,,,,,,,,
0.533615926,0.532324815,,,,,,,,
0.536659861,0.532324815,,,,,,,,
0.532307986,0.532324815,,,,,,,,
0.525815845,0.532324815,,,,,,,,
0.528978683,0.532324815,,,,,,,,
0.530976265,0.532324815,,,,,,,,
0.536683641,0.532324815,,,,,,,,
0.534900086,0.532324815,,,,,,,,
0.533140312,0.532324815,,,,,,,,
0.530690896,0.532324815,,,,,,,,
0.535399482,0.532324815,,,,,,,,
0.535233016,0.532324815,,,,,,,,
0.530595773,0.532324815,,,,,,,,
0.531047607,0.532324815,,,,,,,,
0.532926285,0.532324815,,,,,,,,
0.530786019,0.532324815,,,,,,,,
0.53437691,0.532324815,,,,,,,,
0.534638498,0.532324815,,,,,,,,
0.53404398,0.532324815,,,,,,,,
0.530286623,0.532324815,,,,,,,,
0.533996418,0.532324815,,,,,,,,
0.532189082,0.532324815,,,,,,,,
0.528455507,0.532324815,,,,,,,,
0.530262843,0.532324815,,,,,,,,
0.532617136,0.532324815,,,,,,,,
0.533687269,0.532324815,,,,,,,,
0.536731203,0.532324815,,,,,,,,
0.536683641,0.532324815,,,,,,,,
0.530643334,0.532324815,,,,,,,,
0.53147566,0.532324815,,,,,,,,
0.532331767,0.532324815,,,,,,,,
0.530976265,0.532324815,,,,,,,,
0.535708631,0.532324815,,,,,,,,
0.531285414,0.532324815,,,,,,,,
0.528835999,0.532324815,,,,,,,,
